"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Glob_sevanje_min","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","PM10","O3","mesec","letni_cas","dan"
"397","Koper",8,1,0,1.9,1.35,0.5,4.2,2.3375,1,0,0,1012.6,1011.7625,1011.3,82.6,79.9625,76.6,0.2,0.0375,-0.2,10.6,10.1,9.8,52.5,58.4,2,"zima","petek"
"1851","Ljubljana",19,2.875,0,1,0.625,0.3,1.8,1.3625,0.6,0,0,994.7,994.2875,994,85.6,84.5375,81.9,-2.1,-2.4125,-2.7,6.5,6.1375,5.9,27.1,54.8,10,"jesen","ponedeljek"
"1426","Ljubljana",424,93.125,0,1.1,0.5625,0.2,2.1,1.4375,0.7,0,0,988.2,987.4,986.8,88.5,81.4875,69.3,13.3,11.3,10.5,21.5,18.2875,16.7,19.3,96.2,7,"poletje","petek"
"1913","Ljubljana",0,0,0,1.6,1.275,0.9,3.4,2.6625,2.1,0.7875,4.5,966.5,965.675,965.4,97.8,96.675,92.2,-7.7,-8.025,-8.7,-0.8,-0.925,-1,10.2,66.05,12,"zima","nedelja"
"872","Koper",186,31.25,0,5.6,3.65,2.4,15.4,9.5625,7.3,1.1875,9.3,1012.6,1010.225,1008.7,71.3,62.2375,50.9,9,8.675,8.5,23.4,22.7,21.8,7.1,88.95,7,"poletje","èetrtek"
"972","Koper",64,10,0,4.8,2.625,0.9,15.6,6.625,3,0,0,1019.9,1019.275,1018.9,60.1,54.8375,50,-2,-2.625,-3.2,12.1,11.2375,10.6,20.5,73.2,3,"zima","sobota"
"1096","Koper",396,92.625,0,4.7,3.1375,2,7.3,5.3375,3.8,0.025,0,1008,1006.85,1005.8,78.8,66.7125,54.4,9.5,7.325,6.6,24,21.6875,20,6.2,85.45,7,"poletje","èetrtek"
"1657","Ljubljana",226,35.5,0,0.7,0.375,0.1,2.1,1.6,0.9,0,0,987.2,986.2125,985.7,86.1,80.3,73,4.5,3.6,3,7.8,5.9625,4.4,36,106.55,3,"spomlad","petek"
"1247","Koper",4,0.5,0,3.5,1.7375,0.9,5.3,3.1875,2.1,0,0,1028,1026.2625,1025.4,91,80.8375,75.7,-2.8,-4.8625,-6.5,4.3,3.575,2.3,19.1,61.55,12,"jesen","torek"
"1035","Koper",166,36.75,0,2.2,1.5625,1,3.6,2.9375,2.2,0.125,3,1002.4,1001.3125,1000.8,87.9,85.275,82.6,5,3.725,3.1,15.9,15.1125,14.8,9.4,108.5,5,"spomlad","sobota"
"1369","Ljubljana",200,44.75,0,1.9,1.125,0.5,4.4,2.8375,1.6,0.05,0.4,980.2,979.5375,979.1,96.6,94.825,90.1,7.8,6.7,6.3,15.7,14.25,13.8,19.2,64.4,5,"spomlad","torek"
"1764","Ljubljana",178,35.25,0,4,1.15,0.3,10.5,3,1,0.4125,3.3,977.5,976.5125,975.7,87.7,75.6875,66.2,15,14.4125,12.8,21.7,20.35,18.4,17,94.25,7,"poletje","ponedeljek"
"605","Koper",213,33,0,2.4,1.4875,0.5,6.2,3.375,1.3,0,0,1024.7,1023.7375,1023.4,76.1,62.175,50.9,6.6,4.6375,4,19.4,17.5375,14.2,18.5,86.85,10,"jesen","petek"
"1389","Ljubljana",253,56.25,0,1.3,0.7875,0.2,2.8,1.8875,1.1,0,0,975.7,975.1,974.6,94.2,91.2875,84.4,0.9,0.6,0,10.7,9.2375,8.7,15.3,119.15,5,"spomlad","ponedeljek"
"1630","Ljubljana",17,2.125,0,1,0.3875,0,2.4,1.1875,0,0,0,979.8,978.675,978,91.3,89.8375,88.6,0.2,0.0375,-0.2,5.4,5.275,5.1,43.6,26.75,2,"zima","petek"
"630","Koper",63,8.125,0,2.4,2.125,1.8,4.3,3.575,3.1,0,0,1020,1019.2875,1018.9,63.9,56.175,50.5,0.5,-0.0625,-0.5,8,7.2375,6,28.1,81.3,10,"jesen","sreda"
"1464","Ljubljana",53.9,12.7125,0,2.3,1.55,1.1,5.6,3.8375,2.5,1.8375,14.7,986.2,985.025,983.6,91.9,85.05,75.5,10,8.5875,7.6,19.5,17.65,16.5,7.3,76.05,8,"poletje","sreda"
"1188","Koper",5.8,1.075,0,3.2,1.95,0.8,7.3,4.5125,2.2,1.7625,12,1015.8,1013.425,1010.8,92.5,86.575,78.2,6.9,6.025,5.1,17.4,16.0875,15.5,16.8,84.95,10,"jesen","sobota"
"1550","Ljubljana",5,0.625,0,1,0.6375,0.3,2.6,1.8375,1.3,0,0,981.3,980.35,979.8,76.7,74.925,73,-5,-6.1125,-7.1,0.7,0.2,-0.1,58.4,37.05,11,"jesen","sobota"
"145","Koper",522,115.5,0,2.4,1.575,0.8,3.5,2.6625,1.8,0,0,1018.3,1017.7125,1017.3,79.4,71.6375,53.4,10.4,7.6,6.8,20.4,16.8875,15,14.4,121.15,6,"spomlad","petek"
"1717","Ljubljana",493,120.875,0,1.8,1.0125,0.7,3.8,2.4875,1.8,0,0,984.6,984.1375,983.8,87.8,78.55,66.3,7.9,6.85,6.3,16.8,13.225,11.1,24.8,118.45,5,"spomlad","sreda"
"1288","Ljubljana",1,0.125,0,2.2,1.2,0.5,3.4,2.3625,1.2,0.1875,1.5,970.9,969.9125,969.2,95.2,94.0625,92.9,-4.4,-4.8125,-5.1,1.6,1.0625,0.6,18.4,52.05,1,"zima","èetrtek"
"2034","Ljubljana",270,45.875,0,2.6,0.875,0.3,6.8,2.525,1.5,0,0,980.7,979.125,978,91.6,86.7,76.9,2.4,1.875,1.3,10.6,8.5125,7.5,18.3,104.95,5,"spomlad","petek"
"881","Koper",412,89.25,0,2.3,1.6875,1.1,3.7,2.975,2.5,0,0,1016.7,1016.25,1015.9,77.8,69.9125,56.2,17,15.65,14.6,30.2,26.6,25.2,25,166.35,7,"poletje","sobota"
"408","Koper",72,9.375,0,2.8,1.65,1.1,6.9,3.825,2,0,0,995.5,994.8125,994.1,83.2,72.4375,59.5,-3.4,-4.2,-4.8,10.1,8.9625,7.5,21.6,75.4,3,"zima","torek"
"978","Koper",209,30.5,0,2.1,1.425,1,3.2,2.7875,1.8,0,0,1021.6,1019.7,1018.8,78.7,75.9625,64.8,0.8,-0.2875,-1.2,7.7,5.275,4.3,37,113.05,3,"zima","petek"
"596","Koper",252,41.75,0,2.1,1.9125,1.5,3.3,2.9,2.5,0,0,1019.1,1018.55,1018.2,88.1,84.925,72.4,3.4,2.975,2.6,16.7,13.4875,12.4,19.4,99.85,9,"jesen","sreda"
"1202","Koper",117,15.5,0,2.8,1.9625,1.2,4.3,3.425,2.6,0,0,1029.8,1028.575,1027.9,77,73.75,69.2,8.4,7.7875,7.1,10.2,8.625,7.9,21.5,67.5,10,"jesen","sobota"
"2369","Ljubljana",258,45.75,0,0.7,0.35,0.1,1.9,1.3,0.9,0,0,986.2,985.6,985.3,91,87.15,80.9,14.7,13.275,12.5,18,16.9,15.9,38.8,129.25,9,"poletje","ponedeljek"
"2045","Ljubljana",374,84.5,0,3.3,0.9875,0.3,6.6,2.975,1.7,0,0,985.8,985.1875,984.8,81.5,68.3125,48.3,16.1,14.125,13.2,17.1,14.675,12.7,18,157.65,5,"spomlad","sreda"
"570","Koper",367,70.25,0,2.7,2.15,1.8,4.5,3.35,2.7,0,0,1017.3,1017.075,1016.9,74.1,68.8625,47.2,11.5,8.75,7.2,22.2,17.0625,15.3,13.2,123.3,8,"poletje","petek"
"1570","Ljubljana",12,1.5,0,0.5,0.3875,0.2,2.1,1.525,0.9,0,0,989.7,988.325,987,97.3,95.425,94.1,-2.2,-2.9375,-3.9,0.2,-0.5875,-1.7,104.5,4.95,12,"jesen","petek"
"843","Koper",494,108.875,0,3.2,1.9875,1.1,6.7,4.725,3.1,0,0,1018.2,1017.25,1016.7,53.5,50.25,42.3,10.2,8.5125,7.2,26.8,24.0375,23,28.8,147.05,6,"spomlad","sreda"
"1626","Ljubljana",24.4,3.05,0,4.6,2.225,0.8,9,4.625,1.9,4.325,32.8,981.2,979.7125,977.9,94.3,91.525,87.9,1.6,-0.8625,-3.2,8.4,4.4,0.9,23.6,62.8,2,"zima","ponedeljek"
"692","Koper",2,0.25,0,2.5,1.8,1.1,4.1,3.4625,2.8,0,0,1027.7,1027.0375,1026.5,84.7,82.8125,80.8,3.8,1.5,-0.3,4.2,2.925,2.1,41.6,50.7,1,"zima","sobota"
"2206","Ljubljana",64,11,0,1.6,0.7,0.4,3.8,1.825,1.2,0,0,979.5,979.1875,978.8,76.4,73.4375,65.5,-0.1,-0.9375,-1.5,7.7,6.7375,6.3,19.8,73.05,3,"spomlad","ponedeljek"
"1699","Ljubljana",475,107.625,0,1.1,0.7375,0.1,2.4,1.7375,0.7,0,0,975.3,974.65,974.3,93.6,89.7125,76.6,7,3.875,2.7,13.1,9.7625,8.1,14.9,117.55,5,"spomlad","petek"
"1587","Ljubljana",2,0.25,0,0.6,0.35,0,1.8,1.275,0.1,0.05,0,984.6,982.6125,980.4,97.6,96.8375,96,1.3,0.825,0.6,7.5,7.15,6.9,26,34.15,1,"zima","ponedeljek"
"28","Koper",3.3,0.4125,0,3.8,1.5125,0.6,6.7,3.05,1.3,0.05,0.4,1022.3,1019.65,1017.5,94.2,91.3875,79.4,6,1.8,-0.2,6.7,6.05,5.7,30.5,52.7,1,"zima","èetrtek"
"19","Koper",0.8,0.1,0,2.1,1.7,1.1,4.9,3.2625,2,1.375,9.4,999.9,998.025,996.6,93.2,91.05,89.2,-1.4,-2.6125,-4.2,8.6,8.3125,7.8,15.1,52.7,1,"zima","torek"
"1639","Ljubljana",45,6.125,0,1,0.475,0.2,2.2,1.575,1.1,0,0,966.9,965.4,964.3,96.3,93.425,90.4,-3.4,-4.175,-4.6,4.7,3.2125,2.2,43,64.5,3,"zima","ponedeljek"
"896","Koper",430,88.375,0,2.4,1.875,1.2,4.2,3.1875,2.4,0,0,1016.4,1015.725,1015.4,85.1,75.325,52.5,13.7,11.9625,11.5,27.4,22.425,20.5,22.1,123.65,8,"poletje","ponedeljek"
"1393","Ljubljana",96,27.5,0,1,0.575,0.1,2.2,1.6,0.8,0.6375,4.9,966.6,966.175,966,94,92.175,89.9,-0.3,-0.525,-0.7,9.6,9.1875,8.9,7.1,59.6,5,"spomlad","petek"
"435","Koper",310,56,0,2.4,1.5125,0.6,5.5,3.1625,1.9,0,0,1019.2,1018.575,1018.2,77.1,68.1875,53.3,4.3,3.8625,3.5,17.7,14.2625,11.8,24.2,121.395,4,"spomlad","ponedeljek"
"2202","Ljubljana",121,22,0,1.3,0.9125,0.7,3.6,2.575,1.9,0,0,972.5,970.525,969.6,72.6,65.7625,51.1,-4.3,-4.45,-4.6,5.4,2.925,1.6,21.6,71.4,3,"spomlad","èetrtek"
"2413","Ljubljana",46.9,6.35,0,1.2,0.8375,0.3,3,2.125,0.9,0.3375,1.5,989.1,987.275,985.9,96.4,93.85,88.8,7,6.5375,6.1,15.2,14.8125,14.4,12.1,54.4,10,"jesen","sreda"
"994","Koper",235,40.5,0,2.1,1.25,0.5,3.9,2.375,1.6,0,0,1019.1,1018.25,1017.7,76.6,73.35,65.1,9.2,8.425,7.5,13.8,11.2375,10.3,21.7,84.6,4,"spomlad","nedelja"
"1012","Koper",399,79.25,0,2.3,1.8625,1.6,3.6,2.9875,2.6,0,0,1027.7,1026.85,1026.4,79.7,72.425,48.5,1.8,0.7375,-0.3,16.1,11.1375,9.2,15.7,135.85,4,"spomlad","èetrtek"
"1937","Ljubljana",3,0.375,0,1.6,1.2875,1,3.5,2.7125,1.9,0.6125,4.2,978.9,978.5875,978.2,96.9,95.3125,93.9,-1.3,-1.775,-2.1,3.5,3.3,3.2,18.7,17.55,1,"zima","èetrtek"
